1 Fitness= 44840 Best= 54740
10001 Fitness= 47940 Best= 33650
20001 Fitness= 39870 Best= 30830
30001 Fitness= 44790 Best= 30830
40001 Fitness= 50040 Best= 30830
50001 Fitness= 45700 Best= 30830
60001 Fitness= 46800 Best= 30830
70001 Fitness= 45920 Best= 30830
80001 Fitness= 54130 Best= 30830
90001 Fitness= 46910 Best= 30830
100000 Fitness= 51140 Best= 30830


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10013	2	1
9205	6	1
9206	3	1
8885	2	1
9245	6	2
9246	5	2
9887	4	3
9505	2	1
9976	3	1
10062	3	1
9989	3	1
10248	3	1
10249	2	1
10508	3	2
110	2	10009	1	1
111	5	9608	1	1
112	4	9105	1	1
113	4	10388	1	1
114	3	10002	1	1
115	3	9989	1	1
116	1	9245	6	2
117	5	9992	2	1
118	5	10025	2	1
119	4	9827	9	1
120	2	9619	1	1
121	2	9616	1	1
122	2	9206	3	1
123	1	9246	6	2
124	2	9947	2	1
125	1	8885	2	1
126	2	8885	2	1
127	3	9426	6	5
128	3	9827	9	1
129	1	9912	2	1
130	5	9986	1	1
131	2	10262	1	1
132	2	9968	2	1
133	1	10249	1	1
134	1	10508	3	2
135	4	9245	6	2
136	1	9624	2	2
137	4	10012	1	1
138	2	9426	6	5
139	1	9976	1	1
140	1	9999	3	4
141	3	9972	1	1
142	1	9246	6	2
143	1	9689	5	1
144	3	10567	2	1
145	5	9387	1	1
146	5	9968	2	1
147	5	10062	1	1
148	5	9265	5	4
149	1	9405	1	1
150	1	10347	7	7
151	1	9465	1	1
152	1	9246	6	2
153	1	9999	3	4
154	1	10787	1	1
155	4	9205	2	1
156	4	9613	1	1
157	1	10248	2	1
Summary details:
#violations= 37
fitness= 39700
47 students got their choice 1 project
32 students got their choice 2 project
25 students got their choice 3 project
24 students got their choice 4 project
29 students got their choice 5 project
1 Fitness= 44820 Best= 44100
10001 Fitness= 44540 Best= 30750
20001 Fitness= 42850 Best= 30750
30001 Fitness= 49990 Best= 30750
40001 Fitness= 52030 Best= 30750
50001 Fitness= 45760 Best= 30750
60001 Fitness= 49840 Best= 30750
70001 Fitness= 47570 Best= 30750
80001 Fitness= 49250 Best= 30750
90001 Fitness= 47690 Best= 30750
100000 Fitness= 45900 Best= 30750


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9206	2	1
9689	3	1
9787	3	2
9968	2	1
9245	6	2
9246	4	2
9426	9	5
10062	2	1
9982	3	2
9984	2	1
9989	3	1
10248	4	1
9996	2	1
9624	3	2
9627	2	1
9545	2	1
9007	4	3
9565	3	1
9827	7	1
10002	2	1
10009	2	1
9667	5	2
10567	3	1
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	4	9619	1	1
2	2	9426	9	5
3	1	10767	1	1
4	2	10037	1	2
5	5	9426	9	5
6	3	8826	1	1
7	3	9989	3	1
8	1	9426	9	5
9	5	9265	3	4
10	5	9996	2	1
11	3	10207	1	1
12	1	9996	2	1
13	3	9426	9	5
14	1	9667	5	2
15	3	10648	1	1
16	1	9246	4	2
17	5	9205	1	1
18	5	9989	3	1
19	3	9689	3	1
20	4	9248	1	1
21	1	10667	1	1
22	3	10247	1	1
23	2	9667	5	2
24	5	10248	4	1
25	3	10472	4	4
26	2	9245	6	2
27	3	9365	1	1
28	1	10016	1	1
29	1	10347	7	7
30	4	10248	4	1
31	4	9426	9	5
32	4	9426	9	5
33	4	10271	1	4
34	2	9982	3	2
35	4	9827	7	1
36	4	10025	1	1
37	3	9245	6	2
38	2	9246	4	2
39	4	10048	1	1
40	4	9265	3	4
41	5	9787	3	2
42	2	10107	3	4
43	1	10807	1	1
44	4	9405	1	1
45	1	9787	3	2
46	2	9565	3	1
47	1	9226	1	2
48	5	10427	1	2
49	4	9728	2	2
50	4	9624	3	2
51	4	10567	3	1
52	5	9489	1	2
53	4	10023	1	2
54	3	9982	3	2
55	2	10472	4	4
56	2	9993	1	1
57	1	10259	1	2
58	3	10527	1	1
59	4	10009	2	1
60	3	9989	3	1
61	1	9627	2	1
62	5	9506	1	1
63	1	10347	7	7
64	1	10347	7	7
65	4	9624	3	2
66	2	9728	2	2
67	1	9426	9	5
68	4	10472	4	4
69	1	9827	7	1
70	2	9667	5	2
71	2	9827	7	1
72	5	10472	4	4
73	1	9999	2	4
74	1	10347	7	7
75	5	10012	1	1
76	4	9927	1	1
77	2	10064	1	2
78	3	8825	1	1
79	4	9246	4	2
80	5	9983	1	1
81	2	9565	3	1
82	3	8985	1	1
83	2	10332	1	1
84	1	9887	2	3
85	4	9206	2	1
86	4	9968	2	1
87	5	9306	1	1
88	1	10347	7	7
89	1	9689	3	1
90	2	10039	2	2
91	5	9246	4	2
92	4	9827	7	1
93	5	9999	2	4
