45	4	10470	1	2
46	1	9667	3	2
47	1	9226	2	2
48	3	9991	1	1
49	1	9545	1	1
50	2	9887	3	3
51	1	9208	1	1
52	2	10023	1	2
53	1	9006	3	3
54	1	9624	3	2
55	2	10472	2	4
56	1	10127	3	4
57	1	10259	1	2
58	1	10268	1	2
59	2	9249	1	1
60	4	9205	1	1
61	5	10248	1	1
62	4	9007	3	3
63	1	10347	7	7
64	1	10347	7	7
65	3	9728	1	2
66	1	10687	2	2
67	3	9265	4	4
68	3	9265	4	4
69	1	9827	1	1
70	1	9624	3	2
71	1	9976	3	1
72	2	10022	2	2
73	1	9999	4	4
74	1	10347	7	7
75	1	10046	2	4
76	1	9465	1	1
77	1	10046	2	4
78	1	9887	3	3
79	3	9265	4	4
80	1	10010	1	1
81	1	9999	4	4
82	3	8985	1	1
83	1	9887	3	3
84	4	8885	1	1
85	5	9968	1	1
86	1	9245	3	2
87	2	10042	1	1
88	1	10347	7	7
89	2	10025	1	1
90	1	10127	3	4
91	1	9982	2	2
92	3	9787	2	2
93	5	9999	4	4
94	1	10367	1	1
95	4	9620	1	1
96	2	9206	1	1
97	1	9246	7	2
98	4	10472	2	4
99	1	10627	1	1
100	2	10327	3	4
101	4	9888	1	1
102	1	9226	2	2
103	1	10508	2	2
104	3	9989	1	1
105	1	10347	7	7
106	5	9325	1	1
107	1	9627	1	1
108	1	10747	1	1
109	1	10527	1	1
110	1	10007	1	1
111	3	9346	1	1
112	3	10062	1	1
113	1	10707	1	1
114	2	10013	1	1
115	2	9426	5	5
116	1	9245	3	2
117	1	9006	3	3
118	4	10427	1	2
119	2	10567	1	1
120	3	9984	1	1
121	1	10001	1	3
122	3	9007	3	3
123	1	9246	7	2
124	1	9927	1	1
125	3	9446	1	1
126	5	10030	2	2
127	5	9611	1	1
128	1	9246	7	2
129	1	9912	2	1
130	3	9207	1	1
131	1	10045	1	2
132	4	10331	1	1
133	1	10249	1	1
134	2	10187	1	1
135	1	10508	2	2
136	1	9624	3	2
137	1	9788	1	1
138	3	10729	1	1
139	1	9976	3	1
140	2	9787	2	2
141	3	9972	1	1
142	1	9246	7	2
143	1	9689	1	1
144	4	9485	1	2
145	1	10048	1	1
146	1	9976	3	1
147	1	10127	3	4
148	3	8646	1	1
149	1	9405	1	1
150	1	10347	7	7
151	4	9619	1	1
152	3	9565	1	1
153	2	9006	3	3
154	1	10787	1	1
155	1	10687	2	2
156	2	10107	2	4
157	5	10034	1	1
Summary details:
#violations= 11
fitness= 12350
91 students got their choice 1 project
24 students got their choice 2 project
22 students got their choice 3 project
13 students got their choice 4 project
7 students got their choice 5 project
gc=1
1 Fitness= 44970 Best= 44970
10001 Fitness= 14560 Best= 14560
20001 Fitness= 14560 Best= 14560
30001 Fitness= 14560 Best= 14560
40001 Fitness= 14560 Best= 14560
50001 Fitness= 14560 Best= 14560
60001 Fitness= 14560 Best= 14560
70001 Fitness= 14560 Best= 14560
80001 Fitness= 14560 Best= 14560
90001 Fitness= 13560 Best= 13560
100001 Fitness= 13560 Best= 13560
110001 Fitness= 13560 Best= 13560
120001 Fitness= 13560 Best= 13560
130001 Fitness= 13560 Best= 13560
140001 Fitness= 13560 Best= 13560
150001 Fitness= 13560 Best= 13560
160001 Fitness= 13560 Best= 13560
170001 Fitness= 13560 Best= 13560
180001 Fitness= 13560 Best= 13560
190001 Fitness= 13560 Best= 13560
200001 Fitness= 13560 Best= 13560
210001 Fitness= 13560 Best= 13560
220001 Fitness= 13560 Best= 13560
230001 Fitness= 13560 Best= 13560
240001 Fitness= 13560 Best= 13560
250001 Fitness= 13560 Best= 13560
260001 Fitness= 13560 Best= 13560
270001 Fitness= 13560 Best= 13560
280001 Fitness= 13560 Best= 13560
290001 Fitness= 13560 Best= 13560
300001 Fitness= 13430 Best= 13430
310001 Fitness= 13430 Best= 13430
320001 Fitness= 13430 Best= 13430
330001 Fitness= 13430 Best= 13430
340001 Fitness= 13430 Best= 13430
350001 Fitness= 13430 Best= 13430
360001 Fitness= 13430 Best= 13430
370001 Fitness= 13430 Best= 13430
380001 Fitness= 13430 Best= 13430
390001 Fitness= 13430 Best= 13430
400001 Fitness= 13430 Best= 13430
410001 Fitness= 13430 Best= 13430
420001 Fitness= 13430 Best= 13430
430001 Fitness= 13430 Best= 13430
440001 Fitness= 13430 Best= 13430
450001 Fitness= 13430 Best= 13430
460001 Fitness= 13430 Best= 13430
470001 Fitness= 13430 Best= 13430
480001 Fitness= 13430 Best= 13430
490001 Fitness= 13430 Best= 13430
500000 Fitness= 13430 Best= 13430


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9245	3	2
9246	6	2
9976	3	1
9624	3	2
9827	3	1
9912	2	1
9667	3	2
Complete List of Project Allocations Made:
